ClientID,Last_Purchase_Date,Total_Spend_MAD,Visit_Frequency,Preferred_Category,Avg_Basket_Size,Feedback,Preferred_Channel
1000,2025-09-13,6491.34,12,Produits Frais,653.96,Bakery stale,Email
1001,2025-10-02,7475.68,12,Produits Frais,863.26,Vegetables expired,Email
1002,2025-10-29,6563.19,12,Produits Frais,465.9,Bakery stale,Email
1003,2025-10-07,6223.93,11,Produits Frais,679.07,Bakery stale,Email
1004,2025-10-12,3844.51,5,Produits Frais,990.11,Meat smelled bad,Email
1005,2025-11-06,6619.21,13,Produits Frais,424.4,Meat smelled bad,Email
1006,2025-10-08,7901.54,5,Produits Frais,1183.63,Vegetables expired,Email
1007,2025-10-14,3152.42,6,Produits Frais,913.58,Bakery stale,Email
1008,2025-09-19,2512.24,8,Produits Frais,764.84,Found bugs in rice,Email
1009,2025-10-22,5085.33,7,Produits Frais,1077.89,Meat smelled bad,Email
1010,2025-10-02,7388.66,11,Produits Frais,637.55,Found bugs in rice,Email
1011,2025-09-17,3361.51,15,Produits Frais,484.04,Found bugs in rice,Email
1012,2025-10-15,6651.33,15,Produits Frais,637.19,Vegetables expired,Email
1013,2025-09-25,6788.94,10,Produits Frais,608.07,Bakery stale,Email
1014,2025-10-09,3549.78,8,Produits Frais,1010.76,Meat smelled bad,Email
1015,2025-09-21,6688.89,9,Produits Frais,778.37,Bakery stale,Email
1016,2025-10-08,4853.76,15,Produits Frais,836.78,Meat smelled bad,Email
1017,2025-10-13,3617.35,6,Produits Frais,978.79,Bakery stale,Email
1018,2025-09-17,3997.04,8,Produits Frais,665.57,Found bugs in rice,Email
1019,2025-10-12,6743.81,13,Produits Frais,596.54,Bakery stale,Email
1020,2025-10-24,6437.27,13,Produits Frais,666.85,Vegetables expired,Email
1021,2025-11-08,4562.42,7,Produits Frais,487.97,Bakery stale,Email
1022,2025-11-04,7727.0,11,Produits Frais,1088.3,Meat smelled bad,Email
1023,2025-10-25,6679.44,9,Produits Frais,883.99,Meat smelled bad,Email
1024,2025-10-20,6760.11,5,Produits Frais,737.05,Bakery stale,Email
1025,2025-11-03,5886.47,10,Produits Frais,444.71,Meat smelled bad,Email
1026,2025-10-09,4988.42,8,Produits Frais,880.34,Meat smelled bad,Email
1027,2025-10-15,4683.13,11,Produits Frais,731.26,Found bugs in rice,Email
1028,2025-09-29,2890.15,15,Produits Frais,633.97,Found bugs in rice,Email
1029,2025-09-11,3482.04,7,Produits Frais,1071.5,Found bugs in rice,Email
1030,2025-11-01,6941.77,13,Produits Frais,482.63,Found bugs in rice,Email
1031,2025-10-13,3999.69,9,Produits Frais,430.65,Vegetables expired,Email
1032,2025-10-15,5788.2,15,Produits Frais,967.89,Bakery stale,Email
1033,2025-09-29,6722.65,8,Produits Frais,522.37,Found bugs in rice,Email
1034,2025-10-22,5577.27,7,Produits Frais,824.37,Found bugs in rice,Email
1035,2025-10-11,5802.1,12,Produits Frais,999.43,Vegetables expired,Email
1036,2025-10-27,7586.37,11,Produits Frais,749.87,Meat smelled bad,Email
1037,2025-10-13,2936.82,11,Produits Frais,510.19,Bakery stale,Email
1038,2025-10-24,5202.81,10,Produits Frais,881.08,Meat smelled bad,Email
1039,2025-09-12,3984.4,12,Produits Frais,535.37,Vegetables expired,Email
1040,2025-09-22,4579.91,15,Produits Frais,975.85,Bakery stale,Email
1041,2025-10-25,5326.36,5,Produits Frais,672.86,Bakery stale,Email
1042,2025-09-27,2649.56,15,Produits Frais,804.49,Meat smelled bad,Email
1043,2025-09-20,6241.48,14,Produits Frais,540.83,Vegetables expired,Email
1044,2025-09-17,6899.19,15,Produits Frais,1132.31,Vegetables expired,Email
1045,2025-10-30,4981.55,12,Produits Frais,895.68,Bakery stale,Email
1046,2025-10-20,3700.45,13,Produits Frais,1032.52,Vegetables expired,Email
1047,2025-10-24,6942.42,6,Produits Frais,463.84,Bakery stale,Email
1048,2025-09-18,5698.53,6,Produits Frais,461.08,Meat smelled bad,Email
1049,2025-09-15,6581.09,6,Produits Frais,601.35,Bakery stale,Email
1051,2025-12-31,212.07,29,Snacks,87.68,Price increase,SMS
1052,2025-12-31,578.34,12,Snacks,85.84,Price increase,SMS
1053,2026-01-02,701.6,18,Snacks,53.61,Coupons failed,SMS
1054,2025-12-28,838.23,17,Snacks,66.86,Too expensive,SMS
1055,2025-12-26,575.26,30,Snacks,57.94,Coupons failed,SMS
1056,2026-01-05,733.35,29,Snacks,68.46,No promotions,SMS
1057,2026-01-07,686.09,27,Snacks,63.94,No promotions,SMS
1058,2025-12-28,795.91,13,Snacks,68.83,Too expensive,SMS
1059,2025-12-27,874.22,26,Snacks,83.56,Coupons failed,SMS
1060,2026-01-04,795.9,14,Snacks,84.95,No promotions,SMS
1061,2026-01-03,761.1,22,Snacks,54.14,Coupons failed,SMS
1062,2026-01-03,793.67,16,Snacks,83.01,Price increase,SMS
1063,2026-01-02,442.34,22,Snacks,51.62,Too expensive,SMS
1064,2025-12-25,574.78,28,Snacks,60.48,No promotions,SMS
1065,2026-01-03,518.03,10,Snacks,67.34,Too expensive,SMS
1066,2025-12-29,861.77,15,Snacks,64.22,No promotions,SMS
1067,2026-01-04,313.09,26,Snacks,51.13,Price increase,SMS
1068,2025-12-31,370.42,24,Snacks,89.53,Coupons failed,SMS
1069,2025-12-30,766.13,10,Snacks,65.62,No promotions,SMS
1070,2025-12-30,439.67,18,Snacks,60.05,Too expensive,SMS
1071,2025-12-29,517.99,11,Snacks,91.1,Coupons failed,SMS
1072,2025-12-25,513.66,16,Snacks,65.11,Price increase,SMS
1073,2026-01-02,712.6,14,Snacks,55.39,Price increase,SMS
1074,2025-12-25,893.16,25,Snacks,85.67,Too expensive,SMS
1075,2025-12-28,891.75,12,Snacks,88.07,Too expensive,SMS
1076,2025-12-30,825.97,10,Snacks,80.41,No promotions,SMS
1077,2026-01-03,416.9,24,Snacks,95.35,Too expensive,SMS
1078,2026-01-05,694.24,11,Snacks,75.38,Coupons failed,SMS
1079,2026-01-03,559.29,10,Snacks,53.4,No promotions,SMS
1080,2026-01-04,665.74,20,Snacks,85.92,Too expensive,SMS
1081,2025-12-29,646.49,25,Snacks,69.7,No promotions,SMS
1082,2025-12-27,599.56,20,Snacks,69.0,No promotions,SMS
1083,2026-01-02,456.3,23,Snacks,57.92,Price increase,SMS
1084,2025-12-25,744.34,10,Snacks,76.72,Price increase,SMS
1085,2025-12-27,728.0,16,Snacks,59.36,No promotions,SMS
1086,2025-12-26,798.05,13,Snacks,56.61,No promotions,SMS
1087,2025-12-26,467.28,21,Snacks,74.96,Price increase,SMS
1088,2026-01-01,446.52,27,Snacks,62.4,Coupons failed,SMS
1089,2025-12-30,775.93,20,Snacks,62.15,Coupons failed,SMS
1090,2026-01-04,636.8,29,Snacks,69.47,Price increase,SMS
1091,2025-12-29,526.37,28,Snacks,76.29,Coupons failed,SMS
1092,2026-01-01,719.79,26,Snacks,71.74,Too expensive,SMS
1093,2025-12-27,726.88,28,Snacks,55.51,Coupons failed,SMS
1094,2025-12-27,515.9,22,Snacks,97.63,Price increase,SMS
1095,2026-01-01,807.27,15,Snacks,92.53,Price increase,SMS
1096,2026-01-01,843.13,10,Snacks,78.96,Too expensive,SMS
1097,2026-01-02,579.66,17,Snacks,67.92,Coupons failed,SMS
1098,2025-12-28,451.7,21,Snacks,83.8,No promotions,SMS
1099,2025-12-31,503.55,16,Snacks,78.42,Coupons failed,SMS
1100,2026-01-03,397.96,10,Snacks,85.76,Price increase,SMS
1101,2025-12-28,671.31,10,Snacks,99.61,Price increase,SMS
1102,2025-12-28,720.98,19,Snacks,67.48,No promotions,SMS
1103,2026-01-03,354.6,30,Snacks,83.74,No promotions,SMS
1104,2026-01-07,614.25,26,Snacks,87.89,Price increase,SMS
1105,2025-12-26,550.58,16,Snacks,96.3,Price increase,SMS
1106,2025-12-26,653.25,25,Snacks,94.99,No promotions,SMS
1107,2025-12-31,495.97,16,Snacks,69.73,Too expensive,SMS
1108,2025-12-29,571.42,22,Snacks,95.87,No promotions,SMS
1109,2026-01-05,485.21,25,Snacks,84.47,Price increase,SMS
1110,2026-01-01,303.66,14,Snacks,72.92,Too expensive,SMS
1111,2026-01-06,291.04,15,Snacks,85.95,Coupons failed,SMS
1112,2026-01-06,320.3,27,Snacks,75.28,Coupons failed,SMS
1113,2026-01-06,357.6,24,Snacks,66.77,Coupons failed,SMS
1114,2025-12-27,804.46,11,Snacks,98.47,Coupons failed,SMS
1115,2025-12-28,512.9,11,Snacks,96.61,No promotions,SMS
1116,2026-01-02,847.92,30,Snacks,91.7,Coupons failed,SMS
1117,2026-01-04,580.62,20,Snacks,53.53,Price increase,SMS
1118,2026-01-02,223.18,30,Snacks,55.6,Too expensive,SMS
1119,2025-12-30,396.64,23,Snacks,56.92,Price increase,SMS
1120,2025-12-30,247.27,23,Snacks,52.67,Too expensive,SMS
1121,2026-01-05,685.07,27,Snacks,53.57,Too expensive,SMS
1122,2025-12-29,209.63,23,Snacks,76.31,No promotions,SMS
1123,2026-01-01,884.17,29,Snacks,88.69,Too expensive,SMS
1124,2025-12-28,238.05,21,Snacks,64.07,Price increase,SMS
1125,2025-12-31,538.6,21,Snacks,89.4,Too expensive,SMS
1126,2026-01-03,266.62,11,Snacks,96.25,Too expensive,SMS
1127,2025-12-31,242.64,24,Snacks,59.22,Too expensive,SMS
1128,2025-12-28,524.52,10,Snacks,70.74,Too expensive,SMS
1129,2026-01-04,253.47,26,Snacks,53.76,Coupons failed,SMS
1130,2026-01-06,421.87,19,Snacks,80.41,Price increase,SMS
1131,2026-01-07,416.72,30,Snacks,76.26,Coupons failed,SMS
1132,2025-12-29,521.26,15,Snacks,96.48,No promotions,SMS
1133,2025-12-30,562.93,21,Snacks,56.71,Too expensive,SMS
1134,2025-12-31,345.96,29,Snacks,61.57,Too expensive,SMS
1135,2025-12-28,289.93,20,Snacks,77.82,Too expensive,SMS
1136,2026-01-05,469.63,28,Snacks,50.49,Coupons failed,SMS
1137,2026-01-01,526.2,25,Snacks,67.98,No promotions,SMS
1138,2025-12-30,636.29,18,Snacks,51.68,Coupons failed,SMS
1139,2025-12-31,604.23,23,Snacks,99.46,No promotions,SMS
