ClientID,Status,Last_Visit,Total_Spend,Visits,Avg_Basket,Feedback,Sentiment,Preferred_Channel
1001,Active,2025-12-24,8793.86,28,187.62,Helpful staff,Positive,SMS
1002,Active,2025-12-19,7851.74,15,1554.89,Helpful staff,Positive,Email
1003,Active,2025-12-17,3760.25,10,1397.35,Fresh veggies,Positive,Email
1004,Active,2025-12-27,5929.54,33,299.05,Fresh veggies,Positive,SMS
1005,Churned,2025-10-04,1835.87,17,1719.06,Found bug in rice,Negative,Email
1006,Active,2025-10-11,6078.8,34,1733.19,Fresh veggies,Positive,WhatsApp
1007,Active,2025-12-11,2285.84,34,597.79,Good parking,Positive,WhatsApp
1008,Churned,2025-10-26,9008.71,23,1883.41,Prices high,Negative,SMS
1009,Churned,2025-09-10,7897.31,3,393.87,Milk expired,Negative,WhatsApp
1010,Churned,2025-10-02,566.84,46,1243.16,Prices high,Negative,WhatsApp
1011,Active,2025-10-09,2350.01,4,799.21,Great bakery,Positive,SMS
1012,Active,2025-12-25,7407.08,2,1937.08,Fresh veggies,Positive,WhatsApp
1013,Churned,2025-10-29,5801.96,39,806.72,Prices high,Negative,SMS
1014,Active,2025-11-26,8847.26,22,711.36,Good parking,Positive,SMS
1015,Churned,2026-01-03,3878.96,40,178.21,Milk expired,Negative,SMS
1016,Active,2025-11-12,6410.78,36,1636.1,Good parking,Positive,Email
1017,Churned,2025-12-25,1120.4,13,778.17,App crashing,Negative,SMS
1018,Churned,2025-09-23,5417.28,13,1915.43,Prices high,Negative,WhatsApp
1019,Active,2025-11-08,8577.45,8,151.82,Good parking,Positive,SMS
1020,Active,2025-12-13,2481.35,10,682.09,Helpful staff,Positive,WhatsApp
1021,Active,2025-12-15,9637.31,36,1397.17,Fresh veggies,Positive,Email
1022,Active,2025-10-11,9719.74,12,805.62,Fresh veggies,Positive,Email
1023,Churned,2025-09-17,1220.66,32,677.84,Prices high,Negative,WhatsApp
1024,Active,2025-09-19,2820.68,10,1057.78,Great bakery,Positive,WhatsApp
1025,Active,2025-11-14,8553.89,9,1300.11,Fresh veggies,Positive,WhatsApp
1026,Active,2025-12-02,3483.86,46,351.79,Helpful staff,Positive,WhatsApp
1027,Active,2026-01-01,1201.03,29,1669.86,Helpful staff,Positive,WhatsApp
1028,Active,2025-12-19,9039.66,20,232.61,Great bakery,Positive,WhatsApp
1029,Churned,2025-12-22,2060.22,2,1210.27,App crashing,Negative,Email
1030,Active,2025-10-08,2958.16,28,932.85,Fresh veggies,Positive,SMS
1031,Active,2025-12-04,695.05,45,409.48,Helpful staff,Positive,Email
